Name,Sku,Price
"Project 1","0001",999.89
"Project 2","0002",1999.89
"Project 3","0003",2999.89
"Project 4","0004",3000.89
"Project 5","05",3001.89
"Project 6","06",3002.89
"Project 7","07",3003.89
"Project 8","010",3004.89
"Project 9","011",3005.89
"Project 10","012",3006.89
"Project 11","013",3007.89
"Project 12","014",3008.89
"Project 13","015",3009.89
"Project 14","016",3010.89
"Project 15","017",3011.89
"Project 16","020",3012.89
"Project 17","021",3013.89
"Project 18","022",3014.89
"Project 19","023",3015.89
"Project 20","024",3016.89
"Project 21","025",3017.89
"Project 22","026",3018.89
"Project 23","027",3019.89
"Project 24","030",3020.89
"Project 25","031",3021.89
"Project 26","032",3022.89
"Project 27","033",3023.89
"Project 28","034",3024.89
"Project 29","035",3025.89
"Project 30","036",3026.89
"Project 31","037",3027.89
"Project 32","040",3028.89
"Project 33","041",3029.89
"Project 34","042",3030.89
"Project 35","043",3031.89
"Project 36","044",3032.89
"Project 37","045",3033.89
"Project 38","046",3034.89
"Project 39","047",3035.89
"Project 40","050",3036.89
"Project 41","051",3037.89
"Project 42","052",3038.89
"Project 43","053",3039.89
"Project 44","054",3040.89
"Project 45","055",3041.89
"Project 46","056",3042.89
"Project 47","057",3043.89
"Project 48","060",3044.89
"Project 49","061",3045.89
"Project 50","062",3046.89
"Project 51","063",3047.89
"Project 52","064",3048.89
"Project 53","065",3049.89
"Project 54","066",3050.89
"Project 55","067",3051.89
"Project 56","070",3052.89